"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EFRR6EXR","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/51HansS_20141204_00000703/mahuta-nanaia-oral-questions-questions-to-ministers","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-28 22:48:26","2017-11-28 22:48:26","2017-11-28 22:48:26","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/J8SIN9EG/mahuta-nanaia-oral-questions-questions-to-ministers.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4QJ26DJM","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/51HansS_20150217_00000854/flavell-te-ururoa-debate-on-prime-minister-s-statement","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-28 22:47:48","2017-11-28 22:47:48","2017-11-28 22:47:48","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/W3T8RKYZ/flavell-te-ururoa-debate-on-prime-minister-s-statement.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F72X2K6L","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/51HansS_20150217_00000854/flavell-te-ururoa-debate-on-prime-minister-s-statement","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-28 22:47:20","2017-11-28 22:47:20","2017-11-28 22:47:20","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/4YQDV2ZW/flavell-te-ururoa-debate-on-prime-minister-s-statement.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZCLTQT24","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/51HansS_20150224_00000094/flavell-te-ururoa-ministerial-statements-iraq-deployment","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-28 22:46:48","2017-11-28 22:46:48","2017-11-28 22:46:48","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/LA3K753M/flavell-te-ururoa-ministerial-statements-iraq-deployment.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BG2P9299","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/51HansS_20150428_00000104/flavell-te-ururoa-motions-nepal-earthquake","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-28 22:45:58","2017-11-28 22:45:58","2017-11-28 22:45:58","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/7ZKUS83Y/flavell-te-ururoa-motions-nepal-earthquake.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EI9DSR97","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/51HansS_20150505_00000054/flavell-te-ururoa-motions-congratulatory-message-birth","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-28 22:45:39","2017-11-28 22:45:39","2017-11-28 22:45:39","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/DUBHQKH6/flavell-te-ururoa-motions-congratulatory-message-birth.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MD52UA23","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/51HansS_20150507_00000187/mahuta-nanaia-oral-questions-questions-to-ministers","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-28 22:44:42","2017-11-28 22:44:42","2017-11-28 22:44:42","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/7I7YQDEY/mahuta-nanaia-oral-questions-questions-to-ministers.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4TQEDKNR","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/51HansS_20150604_00000244/paraone-pita-oral-questions-questions-to-ministers","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-28 22:43:26","2017-11-28 22:43:26","2017-11-28 22:43:26","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/JQNF7SGW/paraone-pita-oral-questions-questions-to-ministers.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6P6HQZDX","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/51HansS_20150616_00000615/paraone-pita-oral-questions-questions-to-ministers","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-28 22:42:30","2017-11-28 22:42:30","2017-11-28 22:42:30","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/4S7WAH2J/paraone-pita-oral-questions-questions-to-ministers.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EUGBJ647","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/51HansS_20150701_00000041/flavell-te-ururoa-motions-clerk-of-the-house-of-representatives-retirement","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-28 22:40:10","2017-11-28 22:40:10","2017-11-28 22:40:10","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/ZY248DKG/flavell-te-ururoa-motions-clerk-of-the-house-of-representatives-retirement.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
